Organization CRD#,Primary Business Name,Main Office Street Address 1,Main Office Street Address 2,Main Office City,Main Office State,Main Office Postal Code,Main Office Telephone Number,World Wide Web Site Address,Discretionary AUM,Discretionary accounts,Average discretionary account AUM,Non-discretionary AUM,Non-discretionary accounts,Average non-discretionary account AUM,Total AUM,Total accounts,Average total account AUM
106604,Abens Financial Services Inc.,4920 Lincoln Drive,,Edina,MN,55436,(952) 933-9650,abens.com,"$39,166,108 ",83,"$471,881 ","$136,000,000 ",1,"$136,000,000 ","$175,166,108 ",84,"$2,085,311 "
108525,Aberdeen Wealth Management LLC,"100 South Wacker Dr, Suite 2100",,Chicago,IL,60606,(312) 456-3315,,"$223,285,000 ",171,"$1,305,760 ","$38,268,000 ",36,"$1,063,000 ","$261,553,000 ",207,"$1,263,541 "
129243,Abrams Financial Management,"148 Linden St., Suite 6",,Wellesley,MA,2482,(781) 237-7111,,"$32,362,950 ",254,"$127,413 ",$0 ,0,,"$32,362,950 ",254,"$127,413 "
145599,Abridge Partners LLC,124 One Madison Plaza,Suite 1200,Madison,MS,39110,(601) 718-0000,abridgepartners.com,"$204,659,794 ",543,"$376,906 ","$29,438,545 ",70,"$420,551 ","$234,098,339 ",613,"$381,890 "
120177,Abunda Financial LLC,"1100 Larkspur Landing Circle, Suite 112",,Larkspur,CA,94939,(415) 339-8944,abundafinancial.com,$0 ,0,,"$30,000,000 ",175,"$171,429 ","$30,000,000 ",175,"$171,429 "
135044,Acacia Wealth Advisors LLC,245 South Beverly Drive,,Beverly Hills,CA,90212,(310) 246-0560,acaciawealth.com,$0 ,0,,"$554,952,634 ",124,"$4,475,424 ","$554,952,634 ",124,"$4,475,424 "
115361,Access Financial Services Inc.,1650 West 82Nd St.,Suite 850,Minneapolis,MN,55431,(952) 885-2732,,"$139,011,821 ",682,"$203,830 ","$2,659,633 ",14,"$189,974 ","$141,671,454 ",696,"$203,551 "
109006,Access Investment Advisors Inc.,21 Maritime Drive,,Manitowoc,WI,54220,(920) 683-9901,accessinvestmentadvisors.com,"$92,747,719 ",341,"$271,987 ","$11,601,399 ",92,"$126,102 ","$104,349,118 ",433,"$240,991 "
105439,Accredited Investors Inc.,5200 West 73rd St.,,Edina,MN,55439,(952) 841-2222,accreditedinvestors.com,"$869,894,559 ","2,678","$324,830 ","$44,355,874 ",230,"$192,852 ","$914,250,433 ","2,908","$314,391 "
116763,Acorn Financial Advisory Services Inc.,3600 Chain Bridge Rd.,,Fairfax,VA,22030,(703) 293-3100,acorn-financial.com,$0 ,0,,"$144,400,000 ",960,"$150,417 ","$144,400,000 ",960,"$150,417 "
121307,Acropolis Investment Management LLC,14755 North Outer Forty Road,Suite 100,St. Louis,MO,63017,(888) 882-0072,acropoblog.com,"$609,746,721 ","1,310","$465,456 ","$138,110,735 ",538,"$256,711 ","$747,857,456 ","1,848","$404,685 "
155131,Act Wealth Management LLC,6900 Dallas Parkway,Suite 730,Plano,TX,75024,(214) 618-2022,actwealthmanagement.com,"$139,426,500 ",250,"$557,706 ",$0 ,0,,"$139,426,500 ",250,"$557,706 "
140099,Actium LLC,5088-140 Corporate Exchange Blvd.,,Grand Rapids,MI,49512,(616) 871-0751,bemanaged.com,"$190,505,245 ","1,273","$149,651 ","$12,571,001 ",30,"$419,033 ","$203,076,246 ","1,303","$155,853 "
109315,Adam Financial Associates Inc.,2424 N. Federal Highway,Suite 159,Boca Raton,FL,33431,(561) 417-0001,adamfinl.com,"$70,376,104 ",132,"$533,152 ",$0 ,0,,"$70,376,104 ",132,"$533,152 "
107488,Adell Harriman & Carpenter,"2700 Post Oak Blvd, Ste 1200",,Houston,TX,77056,(713) 621-1155,ahcinvest.com,"$442,419,999 ","1,457","$303,651 ",$0 ,0,,"$442,419,999 ","1,457","$303,651 "
132345,Adirondack Retirement Specialists Inc.,351 Bay Road,,Queensbury,NY,12804,(518) 761-6184,,"$42,002,086 ",173,"$242,787 ","$12,650,605 ",44,"$287,514 ","$54,652,691 ",217,"$251,856 "
109178,Advanced Asset Management LLC,4555 Wilson Ave Sw,Ste 2,Grandville,MI,49418,(616) 531-5220,aamllc.com,"$35,734,082 ","1,029","$34,727 ","$4,984,203 ",396,"$12,586 ","$40,718,285 ","1,425","$28,574 "
121538,Advanced Financial Solutions Inc.,4700 N. Cloverdale Rd.,Suite 205,Boise,ID,83713,(208) 376-0091,afs-idaho.com,"$10,000,980 ",146,"$68,500 ","$2,521,235 ",109,"$23,131 ","$12,522,215 ",255,"$49,107 "
151451,Advanced Group Financial Services LLC,2508 Genesee St.,,Utica,NY,13502,(315) 733-1010,advancedgroupfs.com,"$25,344,056 ",282,"$89,873 ",$0 ,0,,"$25,344,056 ",282,"$89,873 "
158313,Advantage Capital Advisors LLC,9000 W. Sunset Blvd,Suite 711,Los Angeles,CA,90069,(310) 612-9552,,"$20,000,000 ",98,"$204,082 ","$15,000,000 ",10,"$1,500,000 ","$35,000,000 ",108,"$324,074 "
112649,Advisers Investment Management Inc.,1255 Lake Plaza Dr. Suite 244,,Colorado Springs,CO,80906,(719) 540-9990,thecompletesolution.com,"$40,857,011 ",256,"$159,598 ",$0 ,0,,"$40,857,011 ",256,"$159,598 "
113020,Advisors Management Group Inc.,505 King St Ste 208,,La Crosse,WI,54601,(608) 782-0200,advisorsmanagement.com,"$187,288,996 ","3,097","$60,474 ","$11,713,956 ",120,"$97,616 ","$199,002,952 ","3,217","$61,860 "
108138,Advisory Services & Investments LLC,15 Sw Colorado,Suite 280,Bend,OR,97702,(541) 617-0898,advisory-services.com,"$188,918,314 ",130,"$1,453,218 ","$775,530,042 ",14,"$55,395,003 ","$964,448,356 ",144,"$6,697,558 "
146051,Advisory Services Network,1040 Crown Pointe Parkway,Suite 840,Atlanta,GA,30338,(770) 352-0449,advservnet.com,"$148,171,931 ",635,"$233,342 ","$5,918,547 ",13,"$455,273 ","$154,090,478 ",648,"$237,794 "
134429,Aegis Wealth Management LLC,Two Democracy Center,"6903 Rockledge Drive, Ste. 940",Bethesda,MD,20817,(240) 482-2560,aegiswealth.com,"$166,196,253 ",79,"$2,103,750 ","$262,477,614 ",275,"$954,464 ","$428,673,867 ",354,"$1,210,943 "
135893,Aequitas Wealth Management LLC,1901 Ave. Of the Stars,2nd Floor,Los Angeles,CA,90067,(310) 461-1430,aequitaswm.com,$0 ,0,,"$92,158,000 ",180,"$511,989 ","$92,158,000 ",180,"$511,989 "
106563,Aequus Wealth Management Resources LLC,"303 West Erie St., Ste 311",,Chicago,IL,60654,(312) 664-4090,aequuswealth.com,$0 ,0,,"$105,693,744 ",257,"$411,260 ","$105,693,744 ",257,"$411,260 "
111545,Affiliated Private Investors LLC,4512 N. Flagler Drive,Suite 201,West Palm Beach,FL,33407,(561) 318-8710,,"$801,000,000 ",142,"$5,640,845 ","$86,000,000 ",40,"$2,150,000 ","$887,000,000 ",182,"$4,873,626 "
120593,Ahl Investment Management Inc.,427 S. New York Ave Suite 202,,Winter Park,FL,32789,(407) 740-8327,,"$59,975,165 ",250,"$239,901 ","$2,769,088 ",5,"$553,818 ","$62,744,253 ",255,"$246,056 "
104688,Akj Asset Management LLC,1180 Harker Ave.,,Palo Alto,CA,94301,(650) 326-9090,akjasset.com,"$184,862,152 ",418,"$442,254 ","$9,373,100 ",27,"$347,152 ","$194,235,252 ",445,"$436,484 "
105283,Alan Biller And Associates,535 Middlefield Rd.,Suite 230,Menlo Park,CA,94025,(650) 328-7283,adbiller.com,"$4,150,000 ",3,"$1,383,333 ",$0 ,0,,"$4,150,000 ",3,"$1,383,333 "
106233,Alaska Permanent Capital Management Co,"900 W 5th Ave., Suite 601",,Anchorage,AK,99501,(907) 272-7575,apcm.net,"$2,461,102,963 ",345,"$7,133,632 ","$1,664,990 ",1,"$1,664,990 ","$2,462,767,953 ",346,"$7,117,826 "
105389,Albany Financial Planners Inc.,3 Atrium Drive,Suite 265,Albany,NY,12205,(518) 482-5777,albanyfp.com,"$242,603,000 ",569,"$426,367 ",$0 ,0,,"$242,603,000 ",569,"$426,367 "
110837,Albert Heeg Investment Management,2231 Harbor Bay Parkway,,Alameda,CA,94502,(510) 864-2900,heeg.com,"$245,537,469 ",7,"$35,076,781 ",$0 ,0,,"$245,537,469 ",7,"$35,076,781 "
136406,Alberts Investment Management Inc.,16655 W Bluemound Road,Suite 290,Brookfield,WI,53005,(262) 432-2323,albertsinvestment.com,"$45,083,301 ",94,"$479,610 ","$180,141,310 ",8,"$22,517,664 ","$225,224,611 ",102,"$2,208,084 "
105957,Albion Financial Group,812 East 2100 South,,Salt Lake City,UT,84106,(801) 487-3700,albionfinancial.com,"$626,550,522 ","1,272","$492,571 ","$32,020,511 ",78,"$410,519 ","$658,571,033 ","1,350","$487,830 "
105741,Aldebaran Financial Inc.,4105 Fort Henry Drive,Suite 305,Kingsport,TN,37663,(423) 239-7535,aldebaranfinancial.com,"$218,560,586 ",630,"$346,922 ",$0 ,0,,"$218,560,586 ",630,"$346,922 "
108837,Alder Financial Group Inc.,300 Galleria Pkwy,Suite 1650,Atlanta,GA,30339,(877) 249-2629,alderfinancial.com,"$48,599,300 ",240,"$202,497 ","$2,279,916 ",25,"$91,197 ","$50,879,216 ",265,"$191,997 "
108590,Alesco Advisors LLC,120 Office Park Way,,Pittsford,NY,14534,(585) 586-0970,alescoadvisors.com,"$1,439,280,641 ",714,"$2,015,799 ",$0 ,0,,"$1,439,280,641 ",714,"$2,015,799 "
106958,Alex Green Investment Management LLC,10 South Riverside Plaza #1800,,Chicago,IL,60606,(312) 474-7737,,"$148,147,999 ",132,"$1,122,333 ",$0 ,0,,"$148,147,999 ",132,"$1,122,333 "
129120,Alexandria Financial Associates,4900 Seminary Road,Suite 105,Alexandria,VA,22311,(703) 671-5959,botreewestmount.com,"$305,700,000 ","1,020","$299,706 ",$0 ,0,,"$305,700,000 ","1,020","$299,706 "
131482,Align Wealth Management,13921 Quail Pointe Drive,,Oklahoma City,OK,73134,(405) 607-4820,alignmywealth.com,"$137,750,000 ",612,"$225,082 ","$1,750,000 ",20,"$87,500 ","$139,500,000 ",632,"$220,728 "
110404,All Season Financial Advisors Inc.,731 Sherman St.,,Denver,CO,80203,(303) 837-1187,allseasonfunds.com,"$111,465,692 ",541,"$206,036 ",$0 ,0,,"$111,465,692 ",541,"$206,036 "
135879,Allen Capital Group LLC,3032 West Stolley Park Road,Suite E,Grand Island,NE,68801,(308) 385-1500,allencapgroup.com,"$112,331,275 ","2,200","$51,060 ",$0 ,0,,"$112,331,275 ","2,200","$51,060 "
135147,Allen Capital Management LLC,121 Sw Morrison St.,Suite 875,Portland,OR,97204,(503) 292-1041,allencapital.com,"$91,586,121 ",143,"$640,462 ",$0 ,0,,"$91,586,121 ",143,"$640,462 "
153511,Allen Financial Management LLC,1120 S Lapeer Rd.,Suite 200,Oxford,MI,48371,(248) 572-4731,afmwealth.com,"$50,000,100 ",600,"$83,334 ",$0 ,0,,"$50,000,100 ",600,"$83,334 "
112737,Allen G B Associates Inc.,140 Rt. 17 North,Ste. 350,Paramus,NJ,7652,(201) 262-7878,,"$45,000,000 ",90,"$500,000 ",$0 ,0,,"$45,000,000 ",90,"$500,000 "
133038,Allen Wealth Management LLC,980 Highway 105,,Boone,NC,28607,(828) 268-9693,allenwealthmanagement.com,$0 ,0,,"$92,634,831 ",315,"$294,079 ","$92,634,831 ",315,"$294,079 "
112702,Alley Co. LLC,585 Bank Lane,Suite 2400,Lake Forest,IL,60045,(847) 482-0938,alleycompanyllc.com,"$173,359,516 ",56,"$3,095,706 ","$17,840,006 ",1,"$17,840,006 ","$191,199,522 ",57,"$3,354,378 "
152012,Alliance Investment Management LLC,507 Baldwin St,,Jenison,MI,49428,(800) 890-1246,allianceim.com,"$187,804,038 ",127,"$1,478,772 ","$7,688,233 ",33,"$232,977 ","$195,492,271 ",160,"$1,221,827 "
116360,Alliant Wealth Advisors,4008 Genesee Place,Suite 201,Prince William,VA,22192,(703) 878-9050,alliantwealthadvisors.com,"$50,000,000 ",66,"$757,576 ",$0 ,0,,"$50,000,000 ",66,"$757,576 "
113809,Allied Portfolio Management Inc.,5987 E. Grant Road,,Tucson,AZ,85712,(520) 296-1035,alliedportfolio.com,$0 ,0,,"$91,500,000 ",237,"$386,076 ","$91,500,000 ",237,"$386,076 "
135812,Allodium Investment Consultants LLC,500 Washington Ave. South,Suite 2015,Minneapolis,MN,55415,(612) 230-3700,aicria.com,"$140,104,868 ",306,"$457,859 ",$0 ,0,,"$140,104,868 ",306,"$457,859 "
153591,Allsquare Wealth Management LLC,200 Great Oaks Blvd,Suite 219,Albany,NY,12203,(518) 456-8900,allsquarewealth.com,"$67,410,267 ",592,"$113,869 ","$369,271 ",3,"$123,090 ","$67,779,538 ",595,"$113,915 "
116291,Alpha Financial Advisors LLC,8260 Greensboro Drive,Suite 125,Mclean,VA,22102,(703) 442-7686,alphafinancialadvisors.com,"$68,671,170 ",244,"$281,439 ","$892,258 ",1,"$892,258 ","$69,563,428 ",245,"$283,932 "
122545,Alpha Financial Advisors LLC,13925 Ballantyne Corporate Pl.,Suite #280,Charlotte,NC,28277,(704) 716-1100,alphafa.com,"$47,048,840 ",112,"$420,079 ","$224,850 ",1,"$224,850 ","$47,273,690 ",113,"$418,351 "
158608,Alpha Wealth Management LLC,220 N San Jacinto Ave,,Hemet,CA,92543,(951) 765-1200,alpha-wealth.com,"$25,000,000 ",102,"$245,098 ","$1,000,000 ",4,"$250,000 ","$26,000,000 ",106,"$245,283 "
149463,Alpine Wealth Management LLC,530 Lytton Ave.,Ste. 200,Palo Alto,CA,94301,(650) 351-7988,alpinewm.com,"$2,000,000 ",3,"$666,667 ","$25,000,000 ",16,"$1,562,500 ","$27,000,000 ",19,"$1,421,053 "
120642,Altair Advisers LLC,303 W. Madison St.,Suite 600,Chicago,IL,60606,(312) 429-3000,altairadvisers.com,"$404,254,499 ",140,"$2,887,532 ","$2,429,559,854 ",242,"$10,039,504 ","$2,833,814,353 ",382,"$7,418,362 "
122326,Altavista Wealth Management Inc.,"Two Town Square Blvd., Suite 315",,Asheville,NC,28803,(828) 684-2600,altavistawealth.com,"$282,121,066 ",638,"$442,196 ","$3,804,948 ",62,"$61,370 ","$285,926,014 ",700,"$408,466 "
110130,Altfest Personal Wealth Management,425 Park Ave.,24th Floor,New York,NY,10022,(212) 406-0850,altfest.com,"$742,838,000 ","2,064","$359,902 ","$5,912,000 ",76,"$77,789 ","$748,750,000 ","2,140","$349,883 "
107602,Altos Financial Management LLC,4100 Moorpark Ave,Ste 104,San Jose,CA,95117,(408) 249-7881,insureforlessmoney.com,"$39,602,876 ",139,"$284,913 ",$0 ,0,,"$39,602,876 ",139,"$284,913 "
121529,Altrius Capital Management Inc.,1323 Commerce Drive,,New Bern,NC,28562,(252) 638-7598,altrius-capital.com,"$130,963,531 ",709,"$184,716 ",$0 ,0,,"$130,963,531 ",709,"$184,716 "
130004,Altschuler Financial Services,"594 Marrett Road, Suite 13",,Lexington,MA,2421,(781) 674-2297,altschulerfinancial.com,"$64,634,950 ",99,"$652,878 ",$0 ,0,,"$64,634,950 ",99,"$652,878 "
155064,Altus Wealth Advisors LLC,6120 Parkland Blvd.,Suite 303,Mayfield Heights,OH,44124,(440) 925-5670,altuswealthadvisors.com,"$360,000,000 ",208,"$1,730,769 ",$0 ,0,,"$360,000,000 ",208,"$1,730,769 "
116978,Ambassador Advisors LLC,1755 Oregon Pike,,Lancaster,PA,17601,(717) 560-8300,ambassadoradvisors.com,"$172,519,448 ","2,037","$84,693 ",$0 ,0,,"$172,519,448 ","2,037","$84,693 "
117734,Amd Financial Services LLC,705 Olive St.,Suite 900,St. Louis,MO,63101,(314) 655-5504,amdfs.com,"$160,490,117 ",391,"$410,461 ","$19,230,271 ",21,"$915,727 ","$179,720,388 ",412,"$436,215 "
119569,Amdg Financial,218 South Main St.,Suite A,Plymouth,MI,48170,(734) 737-0866,amdgservices.com,"$38,256,194 ",360,"$106,267 ",$0 ,0,,"$38,256,194 ",360,"$106,267 "
106984,America First Investment Advisors LLC,"1004 Farnam St., Ste 400",,Omaha,NE,68102,(402) 930-3020,"am1st,com","$214,000,000 ",458,"$467,249 ","$16,000,000 ",141,"$113,475 ","$230,000,000 ",599,"$383,973 "
123116,American Asset Management Inc.,5355 Town Center Road,Ste 1001,Boca Raton,FL,33486,(561) 955-8500,americanasset.net,"$250,000,000 ",250,"$1,000,000 ",$0 ,0,,"$250,000,000 ",250,"$1,000,000 "
108798,American Blue Chip Investment Management,700 Larkspur Landing Circle,Suite 199,Larkspur,CA,94939,(415) 464-1980,jabcim.com,"$38,293,568 ",140,"$273,525 ",$0 ,0,,"$38,293,568 ",140,"$273,525 "
115559,American Financial & Tax Strategies Inc.,1650 Broadway,Suite 1405,New York,NY,10019,(212) 315-0345,theintelligentdecision.com,"$91,571,889 ",141,"$649,446 ",$0 ,0,,"$91,571,889 ",141,"$649,446 "
108530,American Financial Advisors Inc.,"3361 Rouse Road, Suite 135",,Orlando,FL,32817,(407) 207-9006,afadvisors.com,$0 ,0,,"$215,000,000 ",500,"$430,000 ","$215,000,000 ",500,"$430,000 "
115824,American Financial Advisors LLC.,2551 Roswell Road,Suite 310,Marietta,GA,30062,(770) 977-2434,afainvestments.com,"$422,518,282 ","2,131","$198,272 ",$0 ,0,,"$422,518,282 ","2,131","$198,272 "
144088,American Investment Services,4114 Woodlands Pkwy,Suite 402,Palm Harbor,FL,34685,(727) 450-0970,aisinvest.us,"$42,385,603 ",591,"$71,718 ","$605,481 ",3,"$201,827 ","$42,991,084 ",594,"$72,376 "
115357,American Money Management LLC,14249 Rancho Santa Fe Farms Road,,Rancho Santa Fe,CA,92067,(858) 755-0909,amminvest.com,"$161,284,869 ","1,121","$143,876 ",$0 ,0,,"$161,284,869 ","1,121","$143,876 "
150713,American National Investment Advisors LLC,2001 Butterfield Road; Suite 500,,Downers Grove,IL,60515,(630) 701-9080,american-national.us,"$54,210,370 ",513,"$105,673 ",$0 ,0,,"$54,210,370 ",513,"$105,673 "
144356,American Service Corp.,1733 E Powell Blvd.,Suite 104,Gresham,OR,97030,(503) 661-9010,,$0 ,0,,"$55,000,000 ",600,"$91,667 ","$55,000,000 ",600,"$91,667 "
108589,Ameritrust Investment Advisors Inc.,4111 S Darlington Ste 450,,Tulsa,OK,74135,(918) 610-8080,ameritrusttulsa.com,"$64,346,707 ",430,"$149,644 ",$0 ,0,,"$64,346,707 ",430,"$149,644 "
107703,Ames Planning Associates Inc.,"9 Vose Farm Road, Suite 130",P. O. Box 396,Peterborough,NH,3458,(603) 924-9939,amesplanning.com,"$118,279,853 ",188,"$629,148 ","$2,594,050 ",9,"$288,228 ","$120,873,903 ",197,"$613,573 "
129234,Amherst Financial Services Inc.,81 E. Water St.,Suite 2A,Toms River,NJ,8753,(732) 349-3377,amherstfinancial.com,"$1,463,968 ",10,"$146,397 ","$39,028,573 ",279,"$139,887 ","$40,492,541 ",289,"$140,113 "
106321,Ami Investment Management Inc.,710 N Krueger St.,,Kendallville,IN,46755,(260) 347-1281,amiinvestment.com,"$355,729,521 ",104,"$3,420,476 ",$0 ,0,,"$355,729,521 ",104,"$3,420,476 "
131315,Amicus Financial Advisors LLC,1661 Broadway,,Lubbock,TX,79401,(806) 698-1122,amicusadvisers.com,"$26,372,175 ",336,"$78,489 ","$890,000 ",6,"$148,333 ","$27,262,175 ",342,"$79,714 "
111177,Amussen Hunsaker & Associates Inc.,275 South Temple Suite 204,,Salt Lake City,UT,84111,(801) 575-6409,e-moneyadvisor.com,"$45,000,000 ",424,"$106,132 ",$0 ,0,,"$45,000,000 ",424,"$106,132 "
105157,Anderson Hoagland & Co,"8000 Maryland Ave., Ste 1100",,St Louis,MO,63105,(314) 726-2107,ahco.com,"$246,557,977 ",149,"$1,654,752 ","$6,995,997 ",3,"$2,331,999 ","$253,553,974 ",152,"$1,668,118 "
108013,Andrews Capital Management Inc.,"1224 Tenth St., Suite 203",,Coronado,CA,92118,(619) 435-8866,andrewscapital.com,"$32,239,626 ",66,"$488,479 ",$0 ,0,,"$32,239,626 ",66,"$488,479 "
150580,Anlyan & Hively Asset Management LLC,"131 Racine Drive, Suite 250",,Wilmington,NC,28403,(888) 223-2979,anlyanandhively.com,"$80,000,000 ",133,"$601,504 ","$30,000,000 ",7,"$4,285,714 ","$110,000,000 ",140,"$785,714 "
140825,Anodos Advisors LLC,1334 Anacapa St.,,Santa Barbara,CA,93101,(805) 899-1246,anodosadvisors.com,$0 ,0,,"$409,583,676 ",227,"$1,804,333 ","$409,583,676 ",227,"$1,804,333 "
131416,Anson Capital Inc.,160 Greencastle Road,Suite C,Tyrone,GA,30290,(678) 216-0794,ansoncap.com,"$55,307,050 ",218,"$253,702 ","$26,673,718 ",5,"$5,334,744 ","$81,980,768 ",223,"$367,627 "
125730,Anthony Smith Advisors Inc.,"2999 Piedmont Road, N.E.",Suite 100,Atlanta,GA,30305,(404) 231-1414,anthonysmithadvisors.com,"$79,513,271 ",251,"$316,786 ","$101,844,847 ",236,"$431,546 ","$181,358,118 ",487,"$372,399 "
156551,Antonetti Capital Management LLC,2590 Golden Gate Parkway,Suite 101,Naples,FL,34105,(239) 403-0218,antonetticapital.com,"$52,722,694 ",111,"$474,979 ","$1,118,685 ",21,"$53,271 ","$53,841,379 ",132,"$407,889 "
111616,Aperio Group LLC,"three Harbor Drive, Suite 315",,Sausalito,CA,94965,(415) 339-4300,aperiogroup.com,"$2,065,234,873 ",582,"$3,548,514 ",$0 ,0,,"$2,065,234,873 ",582,"$3,548,514 "
117059,Apex Capital Management LLC,701 Robley Dr.,Suite 200,Lafayette,LA,70503,(337) 984-7010,apexcapitalmanagement.com,"$52,953,817 ",144,"$367,735 ","$6,973,002 ",8,"$871,625 ","$59,926,819 ",152,"$394,255 "
155210,Apex Financial Advisors Inc.,27 East Afton Ave.,,Yardley,PA,19067,(215) 493-1900,afa-inc.com,"$135,000,000 ",47,"$2,872,340 ",$0 ,0,,"$135,000,000 ",47,"$2,872,340 "
112243,Apex Investment Services Inc.,33-A Pendleton Drive,,Hebron,CT,6248,(860) 228-0501,,"$95,807,649 ",508,"$188,598 ",$0 ,0,,"$95,807,649 ",508,"$188,598 "
126849,Apple & Associates,"565 Brunswick Road, Suite 8",,Grass Valley,CA,95945,(530) 272-1346,appleandassociates.com,"$47,151,779 ",446,"$105,721 ","$19,635,102 ",540,"$36,361 ","$66,786,881 ",986,"$67,735 "
119209,Appleton Group Wealth Management LLC,100 W. Lawrence St,Third Floor,Appleton,WI,54911,(920) 993-7727,appletongrouponline.com,"$132,000,000 ",650,"$203,077 ",$0 ,0,,"$132,000,000 ",650,"$203,077 "
151887,Aqua Capital Advisors,1901 Ave. Of the Stars,Suite 1900,Los Angeles,CA,90067,(310) 461-1601,aquacapitaladvisors.com,"$33,777,037 ",74,"$456,446 ","$1,844,527 ",1,"$1,844,527 ","$35,621,564 ",75,"$474,954 "
129380,Aragorn Ltd.,420 Washington St.,Suite 401,Braintree,MA,2184,(781) 848-9250,,"$34,659,301 ",235,"$147,486 ",$0 ,0,,"$34,659,301 ",235,"$147,486 "
111362,Arbor Capital Management Inc.,1400 West Benson Blvd.,Suite 575,Anchorage,AK,99503,(907) 222-7581,acminc.com,"$116,827,365 ",331,"$352,953 ",$0 ,0,,"$116,827,365 ",331,"$352,953 "
111077,Arbor Investment Advisors,300 South Main St.,,Winston Salem,NC,27101,(336) 777-1677,arborinvest.com,"$280,309,894 ",605,"$463,322 ","$36,706,878 ",87,"$421,918 ","$317,016,772 ",692,"$458,117 "
107357,Arch Asset Management Inc.,"7650 Edinborough Way,Ste 760",,Edina,MN,55435,(952) 893-9805,,"$70,737,711 ",360,"$196,494 ",$0 ,0,,"$70,737,711 ",360,"$196,494 "
133246,Archstone Investment Management,203 Pennington Road,,Paoli,PA,19301,(610) 240-7750,archstoneinvestments.net,"$5,256,000 ",6,"$876,000 ",$0 ,0,,"$5,256,000 ",6,"$876,000 "
107358,Argent Wealth Management Inc.,13 Riverside Road,,Weston,MA,2493,(781) 894-1117,argentwm.com,"$546,811,489 ","1,270","$430,560 ",$0 ,0,,"$546,811,489 ","1,270","$430,560 "
116165,Argos Investment Advisors LLC,7733 Forsyth Blvd,Suite 1350,St. Louis,MO,63105,(314) 898-9875,argos-ia.com,$0 ,0,,"$421,002,927 ",300,"$1,403,343 ","$421,002,927 ",300,"$1,403,343 "
144481,Argos Wealth Advisors LLC,4900 Redwood Road,,Napa,CA,94558,(707) 927-4808,argoswealth.com,"$602,911,673 ",914,"$659,641 ","$112,056,929 ",38,"$2,948,867 ","$714,968,602 ",952,"$751,017 "
124867,Aria LLC,2614 Boston Post Road,Suite 16A,Guilford,CT,6437,(203) 453-9075,,"$66,433,598 ",150,"$442,891 ","$3,082,331 ",10,"$308,233 ","$69,515,929 ",160,"$434,475 "
109636,Ariba Asset Management Inc.,2101 Wilson Blvd Suite 525,,Arlington,VA,22201,(703) 683-8488,aribaasset.com,"$61,187,335 ",238,"$257,090 ",$0 ,0,,"$61,187,335 ",238,"$257,090 "
